Number,Name,Address,Latitude,Longitude
73A,Computer Center Addition,1077 N Highland Ave,32.2356986,-110.9517785
74,SBS 1st Street Annex,1515 E 1 St,32.235105,-110.9486774
75,"College Of Architecture, Planning, And Landscape Architecture - West",1040 N Olive Rd,32.2354021,-110.9549829
75A,"College Of Architecture, Planning, And Landscape Architecture - East",1160 E Speedway Blvd,32.2348661,-110.954792
76,Richard A. Harvill Building,1103 E 2 St,32.2343702,-110.9544039
77,Gould-Simpson,1040 E 4 St,32.2297355,-110.9548634
78,McClelland Park,650 N Park Ave,32.2297994,-110.9563162
79,Huachuca Residence Hall,940 E 4 St,32.2300555,-110.9574425
79A,Kaibab Residence Hall,922 E 4 St,32.2299856,-110.9573624
79B,Kaibab Hall Nonresidential,922 E 4 St,32.2299856,-110.9573624
79C,Huachuca Hall Nonresidential,940 E 4 St,32.2300555,-110.9574425
81,Physics-Atmospheric Sciences,1118 E 4 St,32.2299224,-110.9539992
82,Facilities Management Elevator Shop,644 N Santa Rita Ave,32.229943,-110.9531102
83,Sonora Residence Hall,940 E 5 St,32.228966,-110.9594752
84,Arizona Residence Hall,910 E 5 St,32.2286086,-110.9573252
85,Coronado Residence Hall,822 E 5 St,32.2287473,-110.958695
85A,La Aldea,825 E 5 St,32.2295175,-110.9588799
86B,Archive Of Visual Arts,1014-1018 E 6 St,32.2276178,-110.955835
86C,TBA - 1006,1006 E 6 St,32.2275731,-110.9562155
86F,ROTC,1020 E 6 St,32.227561,-110.955713
86G,Cat Tran Service Facility,1022 E 6 St,32.227564,-110.955658
86K,ROTC Storage,1144-1148 E 6 St,32.2276514,-110.9536525
86M,TBA - 1010-1012,1010-1012 E 6 St,32.2275374,-110.9559939
86N,Office of Sustainability Storage,1024 E 6 St,32.2275877,-110.9556116
87,UA Global Center,615 N Park Ave,32.2296407,-110.9576993
87A,UA Global Center Expansion,615 N Park Ave,32.2296407,-110.9576993
88,Biological Sciences West,1041 E Lowell St,32.2288832,-110.955326
88A,Ramada No 2,1111 E Lowell St,32.2291671,-110.9545272
89,Mathematics,617 N Santa Rita Ave,32.2293473,-110.9530673
89A,Mathematics Teaching Laboratory,1129 E Lowell St,32.2288128,-110.9530597
90,Animal and Comparative Biomedical Sciences,1117 E Lowell St,32.2288537,-110.9538134
91,Flandrau Science Center And Planetarium,1601 E University Blvd,32.2325025,-110.9476774
92,Gerard P. Kuiper Space Sciences,1629 E University Blvd,32.2323182,-110.9473358
92A,Gerard P. Kuiper Space Sciences Addition,1629 E University Blvd,32.2323182,-110.9473358
93,Ina E. Gittings Building,1713 E University Blvd,32.2320294,-110.9463412
93A,Tennis Facility,902 N Martin Ave,32.2329966,-110.9442137
93B,Robson Tennis Center,900 N Martin Ave,32.2327857,-110.9447609
94,Meinel Optical Sciences,1630 E University Blvd,32.2314086,-110.9471124
94A,Meinel Optical Sciences  Addition,1630 E University Blvd,32.2314086,-110.9471124
94B,Meinel Optical Sciences Addition I,1630 E University Blvd,32.2314086,-110.9471124
94D,Meinel Optical Sciences West Bldg Expansion,1630 E University Blvd,32.2314086,-110.9471124
95,Highland Commons,1224 E Lowell St,32.2283519,-110.9521072
96,McKale Memorial Center,1721 E Enke Dr,32.2299068,-110.9455634
96A,Hillenbrand Aquatic Center,1827 E Enke Dr,32.2309657,-110.9450326
96B,Mary Roby Gymnastics Training Center,710 N Martin Ave,32.2305975,-110.9450978
96C,Eddie Lynch Athletics Pavilion,1721 E Enke Dr,32.2299068,-110.9455634
98,Hillenbrand Field House,1700 E 2 St,32.2334226,-110.9454245
98A,Lapan Family Center,1700 E 2 St,32.2334226,-110.9454245
98B,Rita Hillenbrand Stadium,1700 E 2 St,32.2334226,-110.9454245
99,Stevie Eller Dance Theatre,1737 E University Blvd,32.2326976,-110.9455964
100,Police Department,1852 E 1 St,32.2345759,-110.9444782
100A,Police Department Storage,1852 E 1 St,32.2345759,-110.9444782
102,Graduate and Professional Student Council,1031 N Mountain Ave,32.2346819,-110.9525962
103,John P. Schaefer Center For Creative Photography,1030 N Olive Rd,32.2350258,-110.9547428
104,Electrical And Computer Engineering,1230 E Speedway Blvd,32.2353213,-110.9533527
105,Learning Services Building,1512 E 1 St,32.2345988,-110.9491956
106,Life Sciences South,1007 E Lowell St,32.2289874,-110.9560705
107,Marley,1145 E 4 St,32.2302788,-110.9533073
108,McClelland Hall,1130 E Helen St,32.2366572,-110.9543371
109,Marvin D. &#39;Swede&#39; Johnson Building,1111 N Cherry Ave,32.2366447,-110.9485659
110A,University Transit Hub,1640 E University Blvd,32.2314941,-110.9475579
111,Biochemistry Greenhouse A,1059 E 8 St,32.2253043,-110.9550879
111A,Biochemistry Greenhouse B,1059 E 8 St,32.2253043,-110.9550879
112,Fluid Dynamics Research Laboratory,1025 N Mountain Ave,32.2345281,-110.9526271
113,Henry Koffler Building,1340 E University Blvd,32.2312201,-110.9513396
114,Second Street Garage,1340 E 2 St,32.2336424,-110.9509586
115,Cherry Avenue Garage,1641 E Enke Dr,32.2299096,-110.9479577
115A,Cherry Avenue Garage Expansion,1641 E Enke Dr,32.2299096,-110.9479577
116,Park Avenue Garage,1140 N Park Ave,32.2369403,-110.9560657
117,Student Recreation Center,1400 E 6 St,32.2273577,-110.9504871
117A,Student Recreation Center Expansion,1400 E 6 St,32.2273577,-110.9504871
117B,Student Recreation Center - South Field Restrooms,1400 E 6 St,32.2273577,-110.9504871
117C,Student Recreation Center - North Field Restrooms,1400 E 6 St,32.2273577,-110.9504871
118,Colonia De La Paz Residence Hall,602 N Highland Ave,32.2293985,-110.9505555
118A,Colonia De La Paz Nonresidential,602 N Highland Ave,32.2293985,-110.9505555
119,Aerospace And Mechanical Engineering,1130 N Mountain Ave,32.236939,-110.9519205
120,Dennis Deconcini Environment And Natural Resources,520 N Park Ave,32.228214,-110.955868
121,Villa Del Puente,575 N Highland Ave,32.2288278,-110.9513897
121A,Villa Del Puente South,525 N Highland Ave,32.2283101,-110.9512853
121B,Villa Del Puente Non-Residential,525 N Highland Ave,32.2283101,-110.9512853
122,Posada San Pedro,601 N Highland Ave,32.2293501,-110.9512875
123,Pueblo De La Cienega,621 N Highland Ave,32.2296537,-110.9514062
124,Facilities Management - Storage,1126 - 1128 E 6 St,32.2274116,-110.9539484
126,Grand Challenges Research Building,750 N Cherry Ave,32.23129,-110.9477345
127A,Leased Out,1620 E 6 St,32.227522,-110.9474736
127B,Leased Out,1624 E 6 St,32.2275381,-110.9473804
127C,Leased Out,1626 E 6 St,32.227541,-110.947386
127D,Leased Out,1628 E 6 St,32.2275376,-110.9473222
128,Martin Luther King Jr. Building,1322 E 1 St,32.2346451,-110.9516561
129,Graduate Center,1600 E 1 St,32.2345973,-110.9479393
131,Likins Hall,500 N Highland Ave,32.2280487,-110.9504307
132,Arbol de la Vida Residence Hall,515 N Tyndall,32.2282068,-110.9580497
133,Residence Life Auxiliary Services Building,542 N Euclid Ave,32.2287411,-110.9592326
134,Beal Center,1030 N Mountain Ave,32.234641,-110.9521588
135,Pima Residence Hall,1340 E 1 St,32.2345673,-110.9514407
135A,Pima Hall Addition,1340 E 1 St,32.2345673,-110.9514407
136,Patricia A Bartlett Building,1010 N Highland Ave,32.234101,-110.9506404
137,Environment and Natural Resources 2,1064 E Lowell St,32.2285585,-110.9553043
138,South Stadium Parking Structure,430 N Warren Ave,32.2272652,-110.946299
140,Richard Jefferson Gymnasium,720 N Martin Ave,32.2309452,-110.9446555
141,Ginny L Clements Academic Center,1720 E Enke Dr,32.2293625,-110.9461136
142,Cole and Jeannie Davis Sports Center,640 N National Championship Dr,32.2290565,-110.9469125
150,Helen S. Schaefer Building,1508 E Helen St,32.2369968,-110.9493472
151A,Babcock Office Building A,1717 E Speedway Blvd,32.2368218,-110.945614
151B,Babcock Residence Hall B,1717 E Speedway Blvd,32.2368218,-110.945614
151C,Babcock Office Building C,1717 E Speedway Blvd,32.2368218,-110.945614
151D,Babcock Office Building D,1717 E Speedway Blvd,32.2368218,-110.945614
151E,Babcock Residence Hall E,1717 E Speedway Blvd,32.2368218,-110.945614
151F,Babcock Residence Hall F,1717 E Speedway Blvd,32.2368218,-110.945614
155F,Art Works A,1509 E Helen St,32.2376126,-110.9494178
155H,Sonoran UCEDD,1521 E Helen St,32.2375878,-110.9489941
155J,The LGBTQ+ Institute,1533 E Helen St,32.2375856,-110.9487775
155M,Art Works B,1503 E Helen St,32.2375517,-110.9495734
155N,Art Works C,1515 E Helen St,32.2375485,-110.9492789
156,College of Engineering - Berge Design Program,715 N Park Ave,32.2311487,-110.957073
158,University Services Building,888 N Euclid Ave,32.2324694,-110.9590921
158B,Louise Foucar Marshall Building,845 N Park Ave,32.2327331,-110.9571368
159,Main Gate Garage,815 E 2 St,32.2337156,-110.9590461
160,Tyndall Avenue Garage,880 E 4 St,32.229726,-110.958687
167,W.A. Franke Honors College,1101 E Mabel St,32.2390442,-110.9550993
167A,W.A. Franke Honors College - Residence Hall,1101 E Mabel St,32.2390442,-110.9550993
168,University of Arizona Recreation and Wellness Center,1051 E Mabel,32.238761,-110.9554366
169,University of Arizona Honors College Parking Garage,1021 E Mabel,32.2390306,-110.9559231
173,Applied Research Building,1420 E Helen St,32.236932,-110.950697
174,Central Refrigeration Plant,1339 E Helen St,32.2375286,-110.9518921
176,College Of Law Building,1201 E Speedway Blvd,32.2363652,-110.9530604
176A,College Of Law Building,1201 E Speedway Blvd,32.2363652,-110.9530604
177,Rountree Hall,1145 N Mountain Ave,32.23694,-110.952716
180,Sixth Street Garage,1201 E 6 St,32.2283866,-110.9533493
180A,Facilities Management Custodial,1201 E 6 St,32.2283866,-110.9533493
180B,CALS Campus Greenhouse Support Complex,1201 E 6 St,32.2283866,-110.9533493
180C,CALS Campus Greenhouse,1201 E 6 St,32.2283866,-110.9533493
180D,CALS Campus Greenhouse,1201 E 6 St,32.2283866,-110.9533493
181,Parking And Transportation Office Building,1117 E 6 St,32.2279611,-110.953444
182,El Portal,501 N Highland Ave,32.2281128,-110.9514986
184,Arid Lands Studies,1955 E 6 St,32.2280973,-110.9427933
184A,Arid Lands Studies Annex,1953 E 6 St,32.2281059,-110.94292
185,Little Chapel Of All Nations,1052 N Highland Ave,32.2351712,-110.9507012
186,University Facility Services,1405 N Ring Rd,32.2399152,-110.949275
190,Highland Avenue Parking Garage,1240 N Highland Ave,32.2380506,-110.9504174
197,Visual Arts Research Studios,1231 N Fremont Ave,32.238263,-110.955532
199,Douglass House,1189 E Speedway Blvd,32.2361739,-110.9542905
199A,Smith House,1195 E Speedway Blvd,32.2361784,-110.9540289
201,Arizona Health Sciences Center,1501 N Campbell Ave,32.240413,-110.9466397
201A,Arizona Health Sciences Center Library,1350 N Warren Ave,32.241355,-110.9467815
201B,Steele Children&#39;s Research Center,1501 N Campbell Ave,32.240413,-110.9466397
201E,Sarver Heart Center,1501 N Campbell Ave,32.240413,-110.9466397
201N,AHSC - North,1501 N Campbell Ave,32.240413,-110.9466397
202,Roy P. Drachman Hall,1295 N Martin Ave,32.2384359,-110.9461825
203,Nursing,1305 N Martin Ave,32.2391112,-110.9454172
205,AHSC Central Heating And Refrigeration Plant,1515 N Cherry Ave,32.2410441,-110.9482363
206,Facilities Management Shops,1515 N Cherry Ave,32.2410441,-110.9482363
206A,Facilities Management Plumbing/Paint/Mechanical Shops,1505 N Cherry Ave,32.2407752,-110.9488604
206B,Facilities Management Machine Shop,1505 N Cherry Ave,32.2407752,-110.9488604
207,Skaggs Pharmaceutical Sciences Center,1703 E Mabel St,32.2416198,-110.9453843
210,Facilities Management HR,1518 E Lester St,32.243496,-110.9492014
213,Lester House,1550 E Lester St,32.2435027,-110.9486537
214,Facilities Management,1502 E Lester St,32.2435454,-110.9495692
216,Health Sciences Innovation Building,1670 E Drachman,32.2389289,-110.947351
221,Life Sciences North,1333 N Martin Ave,32.2396944,-110.9455716
222,Leon Levy Cancer Center,1515 N Campbell Ave,32.24104,-110.944877
222A,Sydney E. Salmon Building,1515 N Campbell Ave,32.24104,-110.944877
228,UAHS Auxiliary - 1145,1145 N Campbell Ave,32.2369284,-110.94423
231,University of Arizona Health Sciences Garage,1401 N Campbell Ave,32.240454,-110.946205
233,Andrew Weil Center for Integrative Medicine,1502 E Mabel St,32.2384606,-110.9496669
240,Thomas W. Keating Bioresearch Building,1657 E Helen St,32.2379439,-110.9472625
241,Medical Research Building,1656 E Mabel St,32.2384806,-110.9470092
242,Bioscience Research Laboratories,1230 N Cherry Ave,32.2380882,-110.9480649
290,Warren Apartments,1633-1639 E 1 St,32.235088,-110.9470611
300A,University Services Annex West,220 W 6 St,32.2281635,-110.9761854
300B,University Services Annex East,220 W 6 St,32.2281635,-110.9761854
301,University Library Storage,301 N Cherry Ave,32.2252307,-110.9483967
302,Confluencenter For Creative Inquiry,1133 E Helen St,32.2376956,-110.9542959
305,Rincon Vista Track Field,2355 E Winsett St,32.2144762,-110.9365704
306,ICA Service Facilities,501 S Plumer Ave,32.2147963,-110.9391745
307,Ground Maintenance,2331 E Winsett St,32.2144697,-110.9372919
308,Rope Course Facility,2355 E Winsett St,32.2144762,-110.9365704
309,Rope Course Facility,2355 E Winsett St,32.2144762,-110.9365704
310,Murphey Field House,2300 E 15 St,32.2159289,-110.9380239
311,ICA Timer Building,2217 E Winsett St,32.2142842,-110.939004
312,Residence Life Facilities,411 S Plumer Ave,32.2171174,-110.9389409
314,Rincon Vista Annex,450 S Tucson Blvd,32.216478,-110.9357248
314A,Rincon Vista Storage A,450 S Tucson Blvd,32.216478,-110.9357248
314B,Rincon Vista Storage B,450 S Tucson Blvd,32.216478,-110.9357248
323,TBA - 1510-1512,1510-1512 E 7 St,32.226264,-110.9491621
324,TBA - 1423,1423 E 8th St,32.2252647,-110.950334
329,1070 N Warren Ave - Leased Out,1070 N Warren Ave,32.2355765,-110.946618
329A,1072 N Warren Ave - Leased Out,1072 N Warren Ave,32.235577,-110.946618
332,Arizona Historical Society,949 E 2 St,32.2332007,-110.9573202
335,Hi Corbett Field,3400 E Camino Campestre Stra,32.2131046,-110.9200602
335A,Hi Corbett Field Ticket Office-Press Box,3400 E Camino Campestre Stra,32.2131046,-110.9200602
335B,Hi Corbett Field Clubhouse,3400 E Camino Campestre Stra,32.2131046,-110.9200602
335C,Hi Corbett Field Coaches Offices,3400 E Camino Campestre Stra,32.2131046,-110.9200602
335D,Hi Corbett Field Restrooms,3400 E Camino Campestre Stra,32.2131046,-110.9200602
335E,Hi Corbett Field Concessions,3400 E Camino Campestre Stra,32.2131046,-110.9200602
335F,Hi Corbett Field Restroom-Concessions,3400 E Camino Campestre Stra,32.2131046,-110.9200602
335G,Terry Francona Hitting Facility,"3400 E Camino Campestre Stra, 85711",32.2131046,-110.9200602
336,Roy Place Building,44 N Stone Ave,32.2226996,-110.9711167
339,Tumamoc Annex,1601 W Anklam,32.2254273,-110.9993487
339A,Tumamoc Annex Garage A,1601 W Anklam,32.2254273,-110.9993487
339B,Tumamoc Annex Garage B,1601 W Anklam,32.2254273,-110.9993487
341,Pima County Abrams Building,3950 S Country Club,32.1759407,-110.9278673
342,Storage,1109 E 7 St,32.2266685,-110.9542828
342A,Storage,1109 E 7 St,32.2266685,-110.9542828
343,Storage,1109 E 7 St,32.2266685,-110.9542828
343A,Storage,1109 E 7 St,32.2266685,-110.9542828
346,TBA - 1601,"1601 N Tucson Blvd, #3",32.2421247,-110.9356018
350,The Park - COM Pediatrics,"4455 E Camelback Rd, #E125",33.5093633,-112.0226188
351,CALS Pima County Cooperative Extension,530 E Whitehouse Canyon,31.850964,-110.9746005
354,University of Arizona - Nogales,2021 N Grand Ave,32.2355351,-110.9902689
358,TBA - 330,330 N Vine Ave,32.2258262,-110.9492617
362,TBA - 350,350 N Highland Ave,32.2254745,-110.9507659
366,College of Law - Court Rooms,240 N Stone,32.2254802,-110.971224
370,Paul and Alice Baker Distribution Center,3740 E 34th Street,32.1937558,-110.9122674
371,TBA - 1324,1324 N Vine Ave,32.2392013,-110.9495343
374,2141,2141 E 3rd St,32.2321467,-110.9398027
375,Bear Canyon - Main House,3591 N Bear Canyon Rd,32.2772287,-110.8062767
375A,Bear Canyon - Guest House,3591 N Bear Canyon Rd,32.2772287,-110.8062767
375B,Bear Canyon - Event House,3591 N Bear Canyon Rd,32.2772287,-110.8062767
378,TBA - 1518,1518 E 7th St,32.2262538,-110.9488085
379,TBA - 1554,1554 E 7th St,32.2262555,-110.9483386
380,TBA - 1548,1548 E 7th St,32.2262375,-110.9484844
381,Alfie Norville Gem &amp; Mineral Museum,115 N Church Ave,32.2234437,-110.9731568
382,TBA - 325,325 N Cherry Ave,32.2256674,-110.9484049
382A,TBA - 323,323 N Cherry Ave,32.225643,-110.9485249
382B,TBA - 321,321 N Cherry Ave,32.2256556,-110.9483569
382C,TBA - 319,319 N Cherry Ave,32.225643,-110.9485249
406A,1601 N Tucson 23,"1601 N Tucson Blvd, #23",32.241254,-110.9364953
406B,Human Energy Systems Laboratory,"1601 N Tucson Blvd, #16",32.2420718,-110.9364995
406C,Human Energy Systems Laboratory,"1601 N Tucson Blvd, #17",32.2419707,-110.9365002
406E,1601 N Tucson 23A,"1601 N Tucson Blvd, #23A",32.2420449,-110.9364831
406F,College of Medicine Continuing Education,"1601 N Tucson Blvd, #4",32.2420449,-110.9364831
407,1601 N Tucson 32,"1601 N Tucson Blvd, #32",32.2408775,-110.9359615
408,Wassaja Carlos Montezuma Center for Native American Health,1642 E Helen St,32.2370938,-110.9471532
408A,Enrollment Management Systems and Communication,1628 E Helen St,32.2371482,-110.9474207
409,Research Development,1618 E Helen St,32.2371143,-110.947778
409A,Student Affairs Systems Group,1618 E Helen St,32.2371143,-110.947778
412,UA Visitor Center,811 N Euclid Ave,32.2319386,-110.9598612
413,Santa Rita House,1219 N Santa Rita Ave,32.2378179,-110.9540177
414B,TBA - 1228,1228 N Santa Rita Ave,32.2380862,-110.9535645
415,TBA - 1115,1115 E Helen St,32.2376369,-110.9547699
418,Mabel Storage,1132 E Mabel St,32.2383958,-110.9542936
420,Esquire Apartments,1230 N Park Ave,32.2377139,-110.9565294
421A,Row House 1715,1715 E 7 St,32.2267127,-110.9464446
421B,Row House 1721,1721 E 7 St,32.2267149,-110.946017
421C,Row House 1729,1729 E 7th St,32.2268417,-110.9459324
421D,Row House 1733,1733 E 7th St,32.2267199,-110.9457399
422A,Storage,1115 E 7 St,32.2267259,-110.9541195
424A,SLHS Clinic,202 E Speedway Blvd,32.2352686,-110.968381
425,AZ Area Health Education Center,1834 E Mabel St,32.2384237,-110.9443652
428,Law Annex III – Undergraduates &amp; Masters of Legal Studies Programs,1215 E Helen St,32.2375324,-110.953289
429,France-Arizona Institute for Global Grand Challenges,1221 E Helen St,32.2376112,-110.9531169
429A,UA Bookstores-Tucson Festival of Books,1201 E Helen St,32.2376644,-110.9535932
432,Geronimo Center A,800 E University Blvd,32.2314017,-110.9592673
437,Water Resources Research Center,350 N Campbell Ave,32.2263583,-110.9433235
438,Gender and Women&#39;s Studies,925 N Tyndall Ave,32.233553,-110.9583449
440,Cancer Center GTS,"1430 E Ft Lowell Rd, Ste 304",32.2643037,-110.9501027
441,Human Animal Interaction House,915 N Tyndall Ave,32.2333856,-110.9582744
443,Teach Arizona,1556 W Prince Rd,32.2731342,-110.9985334
444,Education North,1501 E Speedway Blvd,32.2364601,-110.9494078
446,Visual Development Lab,2600 N Wyatt Dr,32.2543629,-110.8812693
451,Arizona Mining &amp; Mineral Museum,1502 W Washington St,32.2244153,-110.9746715
454,TBA - 407,407 N Mountain Ave,32.2268484,-110.952538
454A,TBA - 415,415 N Mountain Ave,32.2269539,-110.9525498
455,Office of General Education,1240 E Mabel St,32.2383954,-110.9531225
455A,Office of General Education,1240 E Mabel St,32.2383954,-110.9531225
456,Faculty Center,1216 E Mabel St,32.2384086,-110.953322
457,Physiology,1527 E Mabel St,32.2388905,-110.9489381
459,Gilbert University Center,92 W Vaughn,32.2380682,-110.8573874
463,COM - Residence of Medical Student Education,700 Cypress Court,32.5320369,-110.8786717
466,TBA - 1244,1244 N Fremont Ave,32.2384529,-110.9549151
470,Facilities Management Renovation Services,1200 N Mountain Ave,32.2375396,-110.9522971
471,ARL Annex,1237 N Mountain Ave,32.2380863,-110.9527231
471A,Law Annex II - Programs,1203 N Mountain Ave,32.2375161,-110.9527271
471B,WEST Environmental Justice Center,1249 N Mountain Ave,32.2388015,-110.9527287
472,1533 E Mabel ,1533 E Mabel St,32.2388704,-110.9487941
474,TBA - 310,310 N Vine Ave,32.2254155,-110.9492852
476,Graduate Interdisciplinary Programs North,1548 E Drachman St,32.2394058,-110.9486236
479,COPH-Drachman House,1540 E Drachman St,32.23938,-110.9487839
480,Broadway Administrative Offices,1700 E Broadway,32.220936,-110.9464234
483A,Udall Center For Studies In Public Policy,803 E 1 St,32.2345897,-110.9592557
483B,Udall Center For Studies In Public Policy,811 E 1 St,32.2344925,-110.959005
483C,Academic Administration West,819 E 1 St,32.2345311,-110.9588049
483D,Udall Center For Studies In Public Policy,1018 - 1020 N Euclid Ave,32.2348342,-110.9592559
485,SIROW,1037 E 34th Street,32.1947191,-110.9549717
487,SIROW lease,3776 N 1 Ave,32.2756268,-110.9606455
488,University of Arizona - Yuma Academic Center,7875 E 24th St,32.2045399,-110.8580618
490,Arizona Materials Laboratory,4715 E Ft Lowell Rd,32.2619881,-110.8916583
490A,Arizona Materials Laboratory,4717 E Ft Lowell Rd,32.2622655,-110.8901354
491,Alvernon Admin Offices,655 N Alvernon Way,32.2301959,-110.9100088
492,CT Medical Imaging - Lease,4291 N Campbell Ave,32.2844877,-110.9452788
493,Facilities Management Electric Shop,1235 N Mountain Ave,32.2382169,-110.953125
494,COPH - Western Regional Public Health Training Center,1241 N Mountain Ave,32.2382566,-110.9527359
498,U Of A Motor Pool Garage,1597 E 16 St,32.2149537,-110.9484683
498A,U Of A Motor Pool Office Building,1597 E 16 St,32.2149537,-110.9484683
500,Michael J. Drake Building,1415 N 6 Ave,32.2402032,-110.9691653
502,Health Promotion And Wellness Center,1030 N Alvernon Way,32.235073,-110.9092721
506,Oro Valley Veterinary Medicine Facility,1580 E Hanley Blvd,32.4029772,-110.9491776
509,TBA - 1208,1208 E Mabel St,32.2384033,-110.953479
512,TBA - 1200,1200 E Mabel St,32.2384,-110.9536207
513,Facilities Management Elevator Shop,1128 E Mabel St,32.2383735,-110.9544814
514,Pima County Cooperative Extension Teaching Kitchen and Garden,2205 S 4 Ave,32.1964116,-110.965157
515,YCEDA - Yuma,"899 E Plaza Circle, Ste 2",32.7042833,-114.611032
520,TBA - 1504,1504  E 7 St,32.2262517,-110.9493229
528,SBS Tyndall Annex,935 N Tyndall Ave,32.2338334,-110.9582595
529,Global Initiatives,939 N Tyndall Ave,32.2339623,-110.9582311
530,Udall Center Annex And Library,943 N Tyndall Ave,32.2340689,-110.9582203
535,"CALS Pinal Cooperative Extension - Parker, AZ",1012-1020 Hopi Ave,32.2257175,-110.827541
537,Mt Lemmon Skycenter,8892 E Tanque Verde Rd,32.257444,-110.8028821
539,All of Us Program - Phoenix,1441 N 12th St,33.4644633,-112.0555023
540,Facilities Management - Masonry,1501 E Mabel St,32.238917,-110.949574
543,OV Vet Med - Stallard Pl,10900 N Stallard Pl,32.4042241,-110.9469846
544,Steward Observatory,4051 S Longfellow Ave,32.1752966,-110.9055864
546,TBA - Phoenix,706 N 7th St,32.2306235,-110.9699175
548,William M &quot;Bill&quot; Clements Golf Center,2858 N Camino Principal,32.2589225,-110.8503628
552,Tri Delta - Lease,1541 E 2 St,32.2340946,-110.9483693
553,Housing &amp; Residential Life - Storage,2110 E 14 St,32.217077,-110.9401505
571,Law Annex,1201 N Santa Rita Ave,32.2375291,-110.9541011
572,Arthritis Center Annex,1333 N Cherry Ave,32.2393425,-110.9484348
573,Facilities Management Custodial,1526 E Lester St,32.243492,-110.9490175
605,Indian Ruins Guest House,2799 N Indian Ruins Rd,32.2575277,-110.8489385
606,Indian Ruins Lab,2799 N Indian Ruins Rd,32.2575277,-110.8489385
607,Indian Ruins Main House,2799 N Indian Ruins Rd,32.2575277,-110.8489385
801,Tumamoc Hill - Main Library,1675 W Anklam Rd,32.2189304,-111.0040187
802,Tumamoc Hill - Old Chemistry,1675 W Anklam Rd,32.2189304,-111.0040187
803,Tumamoc Hill - USGS,1675 W Anklam Rd,32.2189304,-111.0040187
804,Tumamoc Hill - Sykes Lab,1675 W Anklam Rd,32.2189304,-111.0040187
805,Tumamoc Hill - Sykes Lab Annex,1675 W Anklam Rd,32.2189304,-111.0040187
808,Tumamoc Hill - Storage Shed C,1675 W Anklam Rd,32.2189304,-111.0040187
810,Tumamoc Hill - Inactive,1675 W Anklam Rd,32.2189304,-111.0040187
811,Tumamoc Hill - Boathouse,1675 W Anklam Rd,32.2189304,-111.0040187
812,Tumamoc Hill - Boathouse Annex,1675 W Anklam Rd,32.2189304,-111.0040187
813,Tumamoc Hill - Residence,1651 W Anklam Rd,32.225101,-111.0006097
815,Tumamoc Hill - 1600 Caretaker Residence,1600 W Tucson Terrace,32.2250246,-110.9990491
851,Tumamoc Hill - 14&quot; Telescope,1675 W Anklam Rd,32.2189304,-111.0040187
852,Tumamoc Hill - 21&quot; Telescope,1675 W Anklam Rd,32.2189304,-111.0040187
854,KUAT Transmitting Station,Tumamoc Hill,32.2254619,-111.0016214
855,"Tumamoc Hill - CARBA, KGUN",1675 W Anklam Rd,32.2189304,-111.0040187
901,Kitt Peak Observatory - 36 Inch,South State Highway 386,31.9868762,-111.5997945
902,Kitt Peak Observatory,South State Highway 386,31.9868762,-111.5997945
903,Kitt Peak Observatory - 90 Inch,South State Highway 386,31.9868762,-111.5997945
904,Kitt Peak Observatory,South State Highway 386,31.9868762,-111.5997945
905,Kitt Peak Observatory,South State Highway 386,31.9868762,-111.5997945
907,Kitt Peak Observatory,South State Highway 386,31.9868762,-111.5997945
908,Kitt Peak Maintenance Supervisor Residence,South State Highway 386,31.9868762,-111.5997945
909,Kitt Peak Dorm,South State Highway 386,31.9868762,-111.5997945
910,Spacewatch Telescope - 72 Inch,South State Highway 386,31.9868762,-111.5997945
911,Kitt Peak 12M Radio Telescope,South State Highway 386,31.9868762,-111.5997945
912,Kitt Peak Radio Telescope Dormitory,South State Highway 386,31.9868762,-111.5997945
913,Kitt Peak Radio Telescope Recreation Building,South State Highway 386,31.9868762,-111.5997945
914,Kitt Peak Radio Telescope Electronics Bldg,South State Highway 386,31.9868762,-111.5997945
915,Kitt Peak Radio Telescope Operator Residence,South State Highway 386,31.9868762,-111.5997945
1011,UA Sierra Vista Campus,1140 N Colombo Ave,31.5668068,-110.2457598
1013,UA Sierra Vista - Academic Technology Building,1140 N Columbo Ave,32.2539787,-110.9741769
1014,UA Sierra Vista - Foreign Language Building,1140 N Colombo Ave,31.5668068,-110.2457598
1015,UA Sierra Vista - Arizona Folklore Facility,56 E Folklore Trail,31.4503186,-110.3046251
1015A,UA Sierra Vista - Moffett House,60 E Folklore Trail,31.4502618,-110.3043048
1021,Cochise College - Douglas,4190 W Hwy 80,32.2758617,-111.0107079
1025,UA Sierra Vista - Sofia Building,500 N Garden Ave,31.5575174,-110.3074701
1050,San Xavier Mine,6200 W Ocotillo Ranch Rd,31.970591,-111.0995957
1051,San Xavier Mine Classroom Building,6200 W Ocotillo Ranch Rd,31.970591,-111.0995957
1052,San Xavier Mine - Garage,6200 W Ocotillo Ranch Rd,31.970591,-111.0995957
11001,Pima Community College- West Campus,2202 W Anklam Rd,32.2275173,-111.0166529
11002,Flowing Wells High School,3725 N Flowing Wells Rd,32.2749368,-110.9960261
11003,Pima Community College- Downtown Campus,1255 N Stone Ave,32.2367515,-110.9728308
11004,Pima Community College - Desert Vista Campus,5901 S Calle Santa Cruz,32.1460176,-110.9900832
